S.No.,Question,Difficulty,Answers
7666,What is the square root of 34?,Easy,Not a perfect square
7667,What is 28 * 73?,Medium,2044
7668,What is 10 - 24?,Easy,-14
7669,What is 84 * 16?,Easy,1344
7670,What is 4 squared?,Medium,16
7671,What is 13 squared?,Easy,169
7672,What is the square root of 35?,Medium,Not a perfect square
7673,What is 87 * 36?,Hard,3132
7674,What is the square root of 55?,Easy,Not a perfect square
7675,What is 70 * 3?,Hard,210
7676,What is 29 + 17?,Hard,46
7677,What is the square root of 50?,Medium,Not a perfect square
7678,What is 86 - 55?,Easy,31
7679,What is 12 - 52?,Medium,-40
7680,What is 34 - 92?,Medium,-58
7681,What is the square root of 29?,Medium,Not a perfect square
7682,What is 21 + 69?,Hard,90
7683,What is 40 squared?,Easy,1600
7684,What is 33 * 6?,Hard,198
7685,What is 80 + 54?,Medium,134
7686,What is 38 * 96?,Easy,3648
7687,What is 48 - 39?,Hard,9
7688,What is 39 - 75?,Hard,-36
7689,What is 1 + 17?,Hard,18
7690,What is 33 squared?,Easy,1089
7691,What is the square root of 16?,Medium,4
7692,What is the square root of 1?,Easy,1
7693,What is 4 * 34?,Hard,136
7694,What is 90 + 98?,Easy,188
7695,What is 29 squared?,Hard,841
7696,What is 21 + 100?,Easy,121
7697,What is 75 + 39?,Medium,114
7698,What is 61 - 38?,Medium,23
7699,What is 78 * 57?,Easy,4446
7700,What is 68 + 17?,Easy,85
7701,What is 11 squared?,Easy,121
7702,What is 92 * 22?,Easy,2024
7703,What is the square root of 64?,Medium,8
7704,What is 9 squared?,Medium,81
7705,What is 50 - 15?,Hard,35
7706,What is 11 + 4?,Medium,15
7707,What is 96 * 74?,Hard,7104
7708,What is 100 * 27?,Easy,2700
7709,What is the square root of 60?,Hard,Not a perfect square
7710,What is the square root of 48?,Hard,Not a perfect square
7711,What is 16 + 74?,Hard,90
7712,What is 54 - 62?,Medium,-8
7713,What is 86 - 21?,Medium,65
7714,What is 40 * 29?,Easy,1160
7715,What is the square root of 40?,Easy,Not a perfect square
7716,What is 75 + 65?,Easy,140
7717,What is 100 * 88?,Hard,8800
7718,What is 42 - 99?,Medium,-57
7719,What is 44 squared?,Hard,1936
7720,What is 83 + 17?,Medium,100
7721,What is 51 + 37?,Hard,88
7722,What is 12 squared?,Hard,144
7723,What is the square root of 35?,Medium,Not a perfect square
7724,What is 54 squared?,Medium,2916
7725,What is 27 - 97?,Easy,-70
7726,What is the square root of 27?,Medium,Not a perfect square
7727,What is 12 - 12?,Medium,0
7728,What is the square root of 27?,Easy,Not a perfect square
7729,What is 87 squared?,Medium,7569
7730,What is 7 + 57?,Hard,64
7731,What is 74 - 95?,Hard,-21
7732,What is 13 * 17?,Medium,221
7733,What is 48 squared?,Easy,2304
7734,What is 10 - 33?,Hard,-23
7735,What is 76 + 51?,Medium,127
7736,What is 13 squared?,Easy,169
7737,What is 98 - 28?,Easy,70
7738,What is 49 squared?,Hard,2401
7739,What is 12 squared?,Hard,144
7740,What is 49 + 87?,Easy,136
7741,What is 33 * 91?,Easy,3003
7742,What is 87 squared?,Easy,7569
7743,What is 100 squared?,Easy,10000
7744,What is 99 squared?,Medium,9801
7745,What is 82 * 46?,Easy,3772
7746,What is the square root of 64?,Hard,8
7747,What is the square root of 87?,Medium,Not a perfect square
7748,What is 93 squared?,Easy,8649
7749,What is 14 squared?,Hard,196
7750,What is 4 * 34?,Hard,136
7751,What is the square root of 72?,Medium,Not a perfect square
7752,What is 83 * 54?,Hard,4482
7753,What is 55 * 87?,Medium,4785
7754,What is the square root of 73?,Medium,Not a perfect square
7755,What is 17 * 21?,Hard,357
7756,What is 11 * 59?,Hard,649
7757,What is 80 - 51?,Easy,29
7758,What is 5 squared?,Medium,25
7759,What is 97 squared?,Medium,9409
7760,What is the square root of 100?,Easy,10
7761,What is the square root of 80?,Hard,Not a perfect square
7762,What is the square root of 37?,Medium,Not a perfect square
7763,What is 63 * 9?,Easy,567
7764,What is 68 + 92?,Medium,160
7765,What is 70 + 1?,Easy,71
7766,What is 48 * 42?,Hard,2016
7767,What is 47 - 61?,Medium,-14
7768,What is 10 - 70?,Easy,-60
7769,What is 61 + 68?,Hard,129
7770,What is 44 squared?,Medium,1936
7771,What is the square root of 95?,Easy,Not a perfect square
7772,What is 97 - 5?,Medium,92
7773,What is 63 + 84?,Medium,147
7774,What is 23 squared?,Medium,529
7775,What is 58 squared?,Easy,3364
7776,What is 23 + 29?,Hard,52
7777,What is 4 - 45?,Hard,-41
7778,What is the square root of 2?,Medium,Not a perfect square
7779,What is the square root of 12?,Hard,Not a perfect square
7780,What is the square root of 79?,Easy,Not a perfect square
7781,What is 46 squared?,Hard,2116
7782,What is 27 + 63?,Medium,90
7783,What is 33 - 58?,Hard,-25
7784,What is the square root of 25?,Easy,5
7785,What is 18 squared?,Hard,324
7786,What is 95 squared?,Medium,9025
7787,What is the square root of 91?,Hard,Not a perfect square
7788,What is 77 + 95?,Medium,172
7789,What is 68 squared?,Hard,4624
7790,What is 73 * 49?,Easy,3577
7791,What is 83 + 59?,Easy,142
7792,What is 27 squared?,Hard,729
7793,What is 18 * 31?,Easy,558
7794,What is 50 squared?,Easy,2500
7795,What is 80 - 31?,Hard,49
7796,What is 14 squared?,Medium,196
7797,What is the square root of 29?,Easy,Not a perfect square
7798,What is the square root of 7?,Hard,Not a perfect square
7799,What is 69 + 17?,Easy,86
7800,What is 18 squared?,Hard,324
7801,What is 88 * 43?,Easy,3784
7802,What is 52 * 8?,Medium,416
7803,What is 67 squared?,Hard,4489
7804,What is 96 + 24?,Medium,120
7805,What is 18 + 81?,Easy,99
7806,What is 35 squared?,Easy,1225
7807,What is 61 * 13?,Hard,793
7808,What is 50 + 84?,Easy,134
7809,What is the square root of 60?,Hard,Not a perfect square
7810,What is 63 * 15?,Hard,945
7811,What is 32 * 29?,Hard,928
7812,What is 5 - 46?,Easy,-41
7813,What is 45 - 91?,Medium,-46
7814,What is 15 + 62?,Easy,77
7815,What is the square root of 47?,Easy,Not a perfect square
7816,What is 58 * 1?,Medium,58
7817,What is 36 squared?,Hard,1296
7818,What is 29 + 93?,Medium,122
7819,What is the square root of 64?,Medium,8
7820,What is 59 + 81?,Easy,140
7821,What is 99 - 91?,Hard,8
7822,What is 98 - 43?,Medium,55
7823,What is 13 * 77?,Easy,1001
7824,What is 39 * 71?,Easy,2769
7825,What is 100 + 38?,Medium,138
7826,What is 76 * 1?,Medium,76
7827,What is 71 * 65?,Medium,4615
7828,What is 59 * 67?,Hard,3953
7829,What is 18 + 88?,Hard,106
7830,What is 5 - 55?,Hard,-50
7831,What is 52 + 39?,Easy,91
7832,What is the square root of 3?,Medium,Not a perfect square
7833,What is 5 squared?,Medium,25
7834,What is 93 squared?,Hard,8649
7835,What is 95 + 64?,Hard,159
7836,What is 81 * 78?,Hard,6318
7837,What is 37 + 51?,Hard,88
7838,What is 1 + 32?,Easy,33
7839,What is 84 + 36?,Medium,120
7840,What is 82 + 6?,Easy,88
7841,What is 54 * 85?,Hard,4590
7842,What is the square root of 61?,Easy,Not a perfect square
7843,What is the square root of 52?,Medium,Not a perfect square
7844,What is 50 squared?,Hard,2500
7845,What is 2 - 99?,Easy,-97
7846,What is 79 * 46?,Hard,3634
7847,What is 10 - 75?,Medium,-65
7848,What is 58 * 91?,Easy,5278
7849,What is 14 - 33?,Easy,-19
7850,What is 85 squared?,Easy,7225
7851,What is 49 * 30?,Easy,1470
7852,What is 77 * 17?,Medium,1309
7853,What is 43 * 92?,Easy,3956
7854,What is 56 * 12?,Medium,672
7855,What is 96 - 36?,Medium,60
7856,What is 95 - 82?,Medium,13
7857,What is 50 squared?,Easy,2500
7858,What is 17 squared?,Medium,289
7859,What is 58 + 5?,Hard,63
7860,What is 15 + 36?,Easy,51
7861,What is 2 - 72?,Medium,-70
7862,What is 11 + 35?,Hard,46
7863,What is 47 - 68?,Medium,-21
7864,What is 45 + 59?,Hard,104
7865,What is 40 + 85?,Easy,125
7866,What is 40 * 89?,Hard,3560
7867,What is 3 * 56?,Hard,168
7868,What is 36 squared?,Medium,1296
7869,What is 69 * 18?,Hard,1242
7870,What is 47 squared?,Medium,2209
7871,What is 12 - 1?,Easy,11
7872,What is 97 + 91?,Easy,188
7873,What is 24 * 35?,Medium,840
7874,What is the square root of 35?,Hard,Not a perfect square
7875,What is 23 - 34?,Easy,-11
7876,What is 42 + 12?,Medium,54
7877,What is 73 squared?,Hard,5329
7878,What is 66 squared?,Easy,4356
7879,What is 7 squared?,Medium,49
7880,What is 92 squared?,Hard,8464
7881,What is 28 * 30?,Hard,840
7882,What is 82 + 92?,Hard,174
7883,What is 63 + 38?,Medium,101
7884,What is the square root of 94?,Hard,Not a perfect square
7885,What is 2 * 99?,Medium,198
7886,What is 71 - 67?,Medium,4
7887,What is 29 - 38?,Medium,-9
7888,What is 93 * 96?,Hard,8928
7889,What is 22 squared?,Hard,484
7890,What is the square root of 16?,Easy,4
7891,What is 100 - 73?,Medium,27
7892,What is the square root of 48?,Easy,Not a perfect square
7893,What is 14 - 77?,Easy,-63
7894,What is 27 squared?,Medium,729
7895,What is 42 + 63?,Hard,105
7896,What is 66 + 27?,Medium,93
7897,What is the square root of 54?,Easy,Not a perfect square
7898,What is 80 * 5?,Easy,400
7899,What is 49 squared?,Hard,2401
7900,What is 10 * 45?,Medium,450
7901,What is 71 - 3?,Medium,68
7902,What is 58 * 21?,Medium,1218
7903,What is 44 squared?,Hard,1936
7904,What is 61 squared?,Hard,3721
7905,What is 63 squared?,Easy,3969
7906,What is 61 * 15?,Medium,915
7907,What is 3 * 71?,Medium,213
7908,What is the square root of 25?,Hard,5
7909,What is 97 * 91?,Hard,8827
7910,What is 39 - 79?,Easy,-40
7911,What is the square root of 47?,Easy,Not a perfect square
7912,What is 57 - 99?,Medium,-42
7913,What is the square root of 77?,Easy,Not a perfect square
7914,What is 36 + 24?,Hard,60
7915,What is 81 * 40?,Easy,3240
7916,What is 50 * 9?,Medium,450
7917,What is 98 - 50?,Easy,48
7918,What is 97 * 87?,Easy,8439
7919,What is 53 - 72?,Hard,-19
7920,What is 51 * 94?,Hard,4794
7921,What is the square root of 47?,Hard,Not a perfect square
7922,What is 1 - 18?,Easy,-17
7923,What is 79 + 61?,Medium,140
7924,What is 49 squared?,Easy,2401
7925,What is 43 + 37?,Medium,80
7926,What is 38 squared?,Medium,1444
7927,What is 91 squared?,Easy,8281
7928,What is 18 - 99?,Easy,-81
7929,What is 81 - 82?,Medium,-1
7930,What is 19 * 90?,Medium,1710
7931,What is the square root of 31?,Medium,Not a perfect square
7932,What is 54 + 33?,Hard,87
7933,What is 30 squared?,Easy,900
7934,What is 74 squared?,Medium,5476
7935,What is the square root of 29?,Easy,Not a perfect square
7936,What is 96 + 56?,Hard,152
7937,What is 82 squared?,Hard,6724
7938,What is 60 - 74?,Easy,-14
7939,What is 84 - 94?,Hard,-10
7940,What is 31 squared?,Hard,961
7941,What is 96 + 78?,Easy,174
7942,What is 10 + 97?,Medium,107
7943,What is 19 squared?,Medium,361
7944,What is the square root of 56?,Hard,Not a perfect square
7945,What is 58 * 50?,Medium,2900
7946,What is 31 - 13?,Easy,18
7947,What is 58 squared?,Easy,3364
7948,What is 9 - 95?,Hard,-86
7949,What is 92 * 60?,Easy,5520
7950,What is 40 * 79?,Medium,3160
7951,What is 3 squared?,Medium,9
7952,What is 31 * 2?,Easy,62
7953,What is the square root of 54?,Medium,Not a perfect square
7954,What is 70 squared?,Easy,4900
7955,What is 99 * 44?,Hard,4356
7956,What is the square root of 98?,Medium,Not a perfect square
7957,What is 37 - 66?,Medium,-29
7958,What is the square root of 40?,Medium,Not a perfect square
7959,What is 68 * 58?,Hard,3944
7960,What is 80 + 40?,Easy,120
7961,What is the square root of 10?,Easy,Not a perfect square
7962,What is 56 + 41?,Hard,97
7963,What is 13 - 21?,Easy,-8
7964,What is 50 * 2?,Easy,100
7965,What is the square root of 54?,Easy,Not a perfect square
7966,What is 29 + 99?,Easy,128
7967,What is 72 + 38?,Hard,110
7968,What is 16 + 6?,Hard,22
7969,What is 62 squared?,Hard,3844
7970,What is the square root of 55?,Hard,Not a perfect square
7971,What is 70 * 31?,Easy,2170
7972,What is 3 - 54?,Easy,-51
7973,What is 59 squared?,Easy,3481
7974,What is 36 - 66?,Medium,-30
7975,What is the square root of 37?,Hard,Not a perfect square
7976,What is the square root of 40?,Hard,Not a perfect square
7977,What is 3 - 55?,Hard,-52
7978,What is 47 * 21?,Hard,987
7979,What is 80 * 74?,Medium,5920
7980,What is 40 + 75?,Medium,115
7981,What is 59 squared?,Easy,3481
7982,What is 94 squared?,Medium,8836
7983,What is the square root of 66?,Easy,Not a perfect square
7984,What is 98 squared?,Medium,9604
7985,What is 94 + 22?,Medium,116
7986,What is the square root of 72?,Easy,Not a perfect square
7987,What is 33 + 21?,Medium,54
7988,What is the square root of 29?,Hard,Not a perfect square
7989,What is 5 - 46?,Easy,-41
7990,What is 51 + 34?,Easy,85
7991,What is the square root of 54?,Medium,Not a perfect square
7992,What is the square root of 47?,Hard,Not a perfect square
7993,What is 48 - 45?,Easy,3
7994,What is 68 + 71?,Easy,139
7995,What is the square root of 86?,Medium,Not a perfect square
7996,What is the square root of 41?,Hard,Not a perfect square
7997,What is 40 + 23?,Medium,63
7998,What is 63 squared?,Hard,3969
7999,What is 4 - 66?,Medium,-62
8000,What is 78 * 52?,Hard,4056
8001,What is 58 + 84?,Hard,142
8002,What is 18 - 50?,Easy,-32
8003,What is 27 * 46?,Easy,1242
8004,What is 32 * 31?,Hard,992
8005,What is 4 - 22?,Medium,-18
8006,What is 39 squared?,Hard,1521
8007,What is 74 + 61?,Easy,135
8008,What is 17 squared?,Medium,289
8009,What is the square root of 3?,Medium,Not a perfect square
8010,What is 14 * 54?,Medium,756
8011,What is 76 - 90?,Medium,-14
8012,What is 34 + 56?,Hard,90
8013,What is 57 * 39?,Easy,2223
8014,What is 76 squared?,Hard,5776
8015,What is the square root of 51?,Medium,Not a perfect square
8016,What is 71 + 75?,Medium,146
8017,What is the square root of 5?,Hard,Not a perfect square
8018,What is 93 squared?,Easy,8649
8019,What is 16 - 60?,Medium,-44
8020,What is 23 + 69?,Medium,92
8021,What is 7 + 38?,Hard,45
8022,What is 22 - 62?,Hard,-40
8023,What is 6 - 7?,Hard,-1
8024,What is 5 squared?,Medium,25
8025,What is 55 * 79?,Hard,4345
8026,What is the square root of 53?,Medium,Not a perfect square
8027,What is 76 * 86?,Hard,6536
8028,What is 89 - 17?,Hard,72
8029,What is 99 squared?,Medium,9801
8030,What is 83 + 4?,Easy,87
8031,What is 49 squared?,Hard,2401
8032,What is 44 - 90?,Easy,-46
8033,What is 39 squared?,Easy,1521
8034,What is 57 * 93?,Hard,5301
8035,What is 47 + 45?,Medium,92
8036,What is 89 + 70?,Hard,159
8037,What is the square root of 17?,Medium,Not a perfect square
8038,What is 63 squared?,Medium,3969
8039,What is 75 squared?,Easy,5625
8040,What is 41 + 46?,Hard,87
8041,What is 68 squared?,Medium,4624
8042,What is the square root of 12?,Medium,Not a perfect square
8043,What is the square root of 33?,Medium,Not a perfect square
8044,What is the square root of 25?,Hard,5
8045,What is 9 squared?,Medium,81
8046,What is the square root of 5?,Hard,Not a perfect square
8047,What is the square root of 43?,Hard,Not a perfect square
8048,What is the square root of 11?,Medium,Not a perfect square
8049,What is the square root of 58?,Medium,Not a perfect square
8050,What is 58 squared?,Easy,3364
8051,What is 29 squared?,Hard,841
8052,What is 89 + 2?,Medium,91
8053,What is the square root of 46?,Medium,Not a perfect square
8054,What is the square root of 56?,Easy,Not a perfect square
8055,What is 34 squared?,Easy,1156
8056,What is 53 * 17?,Medium,901
8057,What is 4 + 61?,Hard,65
8058,What is the square root of 74?,Medium,Not a perfect square
8059,What is 10 - 4?,Medium,6
8060,What is the square root of 68?,Easy,Not a perfect square
8061,What is 54 squared?,Hard,2916
8062,What is 84 - 31?,Medium,53
8063,What is 85 squared?,Hard,7225
8064,What is 57 * 63?,Easy,3591
8065,What is 2 - 13?,Medium,-11
8066,What is 35 + 69?,Medium,104
8067,What is 49 squared?,Hard,2401
8068,What is 9 - 26?,Easy,-17
8069,What is 31 - 68?,Hard,-37
8070,What is 31 * 13?,Medium,403
8071,What is 31 - 85?,Medium,-54
8072,What is 83 - 9?,Easy,74
8073,What is 23 + 69?,Easy,92
8074,What is 56 squared?,Medium,3136
8075,What is 82 + 6?,Medium,88
8076,What is 46 + 35?,Hard,81
8077,What is 84 - 65?,Easy,19
8078,What is 60 + 42?,Easy,102
8079,What is 90 + 67?,Easy,157
8080,What is the square root of 28?,Medium,Not a perfect square
8081,What is 75 squared?,Easy,5625
8082,What is the square root of 46?,Hard,Not a perfect square
8083,What is 75 squared?,Easy,5625
8084,What is 86 * 67?,Medium,5762
8085,What is the square root of 92?,Hard,Not a perfect square
8086,What is 9 + 47?,Medium,56
8087,What is 15 - 42?,Hard,-27
8088,What is 30 squared?,Hard,900
8089,What is 70 * 42?,Easy,2940
8090,What is the square root of 68?,Medium,Not a perfect square
8091,What is 59 - 20?,Easy,39
8092,What is the square root of 16?,Hard,4
8093,What is 85 squared?,Hard,7225
8094,What is 10 + 70?,Medium,80
8095,What is 34 - 49?,Hard,-15
8096,What is 87 - 96?,Easy,-9
8097,What is 47 - 4?,Hard,43
8098,What is 45 * 15?,Medium,675
8099,What is 69 squared?,Easy,4761
8100,What is 74 * 90?,Medium,6660
8101,What is 61 - 23?,Medium,38
8102,What is 97 - 49?,Hard,48
8103,What is 34 * 66?,Hard,2244
8104,What is the square root of 27?,Medium,Not a perfect square
8105,What is 61 - 70?,Medium,-9
8106,What is 96 * 25?,Hard,2400
8107,What is 57 + 70?,Medium,127
8108,What is the square root of 53?,Medium,Not a perfect square
8109,What is 17 * 91?,Medium,1547
8110,What is the square root of 83?,Hard,Not a perfect square
8111,What is the square root of 1?,Hard,1
8112,What is the square root of 97?,Hard,Not a perfect square
8113,What is 33 + 80?,Hard,113
8114,What is the square root of 67?,Hard,Not a perfect square
8115,What is the square root of 79?,Hard,Not a perfect square
8116,What is 30 * 23?,Hard,690
8117,What is 82 * 18?,Medium,1476
8118,What is 33 + 9?,Medium,42
8119,What is 20 squared?,Medium,400
8120,What is 74 - 68?,Easy,6
8121,What is 100 * 21?,Easy,2100
8122,What is 68 + 37?,Medium,105
8123,What is 52 * 30?,Medium,1560
8124,What is 87 - 85?,Hard,2
8125,What is the square root of 4?,Easy,2
8126,What is 5 squared?,Hard,25
8127,What is 59 * 58?,Easy,3422
8128,What is 33 * 63?,Medium,2079
8129,What is 87 squared?,Hard,7569
8130,What is 63 + 19?,Easy,82
8131,What is 69 - 51?,Hard,18
8132,What is 2 * 90?,Easy,180
8133,What is 21 * 55?,Hard,1155
8134,What is 24 + 55?,Easy,79
8135,What is 93 + 16?,Hard,109
8136,What is 83 squared?,Easy,6889
8137,What is 50 - 75?,Easy,-25
8138,What is 61 * 67?,Easy,4087
8139,What is 92 * 96?,Hard,8832
8140,What is 96 - 57?,Medium,39
8141,What is 65 + 75?,Hard,140
8142,What is 39 squared?,Hard,1521
8143,What is 59 + 72?,Easy,131
8144,What is 49 squared?,Medium,2401
8145,What is 18 * 37?,Easy,666
8146,What is 54 - 80?,Hard,-26
8147,What is 97 + 12?,Medium,109
8148,What is 17 + 57?,Hard,74
8149,What is the square root of 5?,Medium,Not a perfect square
8150,What is 55 + 59?,Easy,114
8151,What is 18 + 80?,Easy,98
8152,What is 84 + 30?,Medium,114
8153,What is 63 + 59?,Easy,122
8154,What is 30 + 28?,Easy,58
8155,What is 94 + 18?,Medium,112
8156,What is the square root of 57?,Medium,Not a perfect square
8157,What is 80 - 31?,Easy,49
8158,What is 33 - 97?,Medium,-64
8159,What is 63 squared?,Hard,3969
8160,What is 37 squared?,Easy,1369
8161,What is 93 - 100?,Easy,-7
8162,What is 52 * 91?,Hard,4732
8163,What is 59 squared?,Easy,3481
8164,What is 85 squared?,Medium,7225
8165,What is 1 squared?,Easy,1
8166,What is 85 squared?,Hard,7225
8167,What is 21 * 64?,Easy,1344
8168,What is 47 * 50?,Easy,2350
8169,What is the square root of 36?,Easy,6
8170,What is 19 + 7?,Medium,26
8171,What is 1 - 75?,Easy,-74
8172,What is 26 + 86?,Hard,112
8173,What is 58 * 55?,Hard,3190
8174,What is the square root of 82?,Easy,Not a perfect square
8175,What is the square root of 27?,Medium,Not a perfect square
8176,What is 87 * 35?,Medium,3045
8177,What is 67 + 31?,Hard,98
8178,What is 44 + 54?,Medium,98
8179,What is 71 + 85?,Hard,156
8180,What is 59 - 79?,Medium,-20
8181,What is the square root of 64?,Medium,8
8182,What is 19 * 73?,Hard,1387
8183,What is 99 + 80?,Hard,179
8184,What is 100 squared?,Hard,10000
8185,What is 96 - 10?,Easy,86
8186,What is 53 squared?,Hard,2809
8187,What is 88 * 31?,Hard,2728
8188,What is 76 * 99?,Medium,7524
8189,What is 70 - 7?,Medium,63
8190,What is 26 - 39?,Hard,-13
8191,What is 68 + 46?,Hard,114
8192,What is 76 + 77?,Medium,153
8193,What is 32 + 25?,Easy,57
8194,What is 16 - 39?,Easy,-23
8195,What is 73 * 64?,Medium,4672
8196,What is 35 squared?,Medium,1225
8197,What is 75 squared?,Medium,5625
8198,What is the square root of 38?,Hard,Not a perfect square
8199,What is 96 * 10?,Easy,960
8200,What is 52 - 47?,Hard,5
8201,What is the square root of 94?,Medium,Not a perfect square
8202,What is 64 - 21?,Medium,43
8203,What is 60 - 58?,Hard,2
8204,What is 13 * 89?,Medium,1157
8205,What is 6 - 47?,Easy,-41
8206,What is 1 + 66?,Easy,67
8207,What is 19 squared?,Easy,361
8208,What is the square root of 74?,Hard,Not a perfect square
8209,What is 1 squared?,Hard,1
8210,What is 14 * 41?,Easy,574
8211,What is 27 * 26?,Easy,702
8212,What is 83 + 15?,Medium,98
8213,What is the square root of 86?,Hard,Not a perfect square
8214,What is 7 * 63?,Medium,441
8215,What is the square root of 27?,Easy,Not a perfect square
8216,What is 48 + 52?,Medium,100
8217,What is 19 squared?,Easy,361
8218,What is 16 squared?,Easy,256
8219,What is 79 - 64?,Medium,15
8220,What is 92 + 22?,Easy,114
8221,What is the square root of 37?,Medium,Not a perfect square
8222,What is 30 + 63?,Easy,93
8223,What is 57 + 2?,Easy,59
8224,What is 84 + 17?,Hard,101
8225,What is the square root of 66?,Hard,Not a perfect square
8226,What is 33 + 82?,Easy,115
8227,What is 80 * 29?,Easy,2320
8228,What is the square root of 75?,Easy,Not a perfect square
8229,What is 2 - 92?,Medium,-90
8230,What is 72 squared?,Easy,5184
8231,What is 25 squared?,Medium,625
8232,What is the square root of 23?,Hard,Not a perfect square
8233,What is 55 * 15?,Hard,825
8234,What is 5 + 7?,Hard,12
8235,What is 42 + 5?,Easy,47
8236,What is the square root of 88?,Easy,Not a perfect square
8237,What is 51 - 41?,Easy,10
8238,What is the square root of 56?,Hard,Not a perfect square
8239,What is 96 * 18?,Easy,1728
8240,What is the square root of 5?,Easy,Not a perfect square
8241,What is 60 - 47?,Hard,13
8242,What is 61 - 70?,Easy,-9
8243,What is 83 + 67?,Medium,150
8244,What is 96 squared?,Medium,9216
8245,What is the square root of 2?,Easy,Not a perfect square
8246,What is 4 + 59?,Medium,63
8247,What is the square root of 87?,Easy,Not a perfect square
8248,What is the square root of 88?,Hard,Not a perfect square
8249,What is 93 - 83?,Medium,10
8250,What is 7 - 72?,Medium,-65
8251,What is 65 + 15?,Hard,80
8252,What is 29 squared?,Easy,841
8253,What is the square root of 34?,Hard,Not a perfect square
8254,What is 76 + 93?,Hard,169
8255,What is 34 - 43?,Medium,-9
8256,What is 61 * 14?,Hard,854
8257,What is 44 + 70?,Easy,114
8258,What is 28 * 49?,Hard,1372
8259,What is 97 - 100?,Hard,-3
8260,What is the square root of 77?,Hard,Not a perfect square
8261,What is 22 + 14?,Easy,36
8262,What is 90 - 44?,Hard,46
8263,What is 96 + 18?,Medium,114
8264,What is 71 squared?,Medium,5041
8265,What is 43 squared?,Easy,1849
8266,What is 94 - 93?,Medium,1
8267,What is 39 squared?,Easy,1521
8268,What is 36 * 32?,Hard,1152
8269,What is 30 + 44?,Easy,74
8270,What is 33 * 86?,Medium,2838
8271,What is 1 + 68?,Medium,69
8272,What is the square root of 5?,Medium,Not a perfect square
8273,What is the square root of 58?,Medium,Not a perfect square
8274,What is 59 - 72?,Hard,-13
8275,What is 26 + 21?,Medium,47
8276,What is 73 - 36?,Medium,37
8277,What is the square root of 15?,Easy,Not a perfect square
8278,What is 14 - 27?,Easy,-13
8279,What is the square root of 74?,Medium,Not a perfect square
8280,What is 27 - 31?,Hard,-4
8281,What is the square root of 29?,Medium,Not a perfect square
8282,What is 49 - 63?,Easy,-14
8283,What is 100 squared?,Hard,10000
8284,What is 4 + 34?,Medium,38
8285,What is 20 * 45?,Easy,900
8286,What is 64 - 79?,Medium,-15
8287,What is 97 - 59?,Hard,38
8288,What is 50 squared?,Medium,2500
8289,What is 30 squared?,Easy,900
8290,What is 42 - 20?,Easy,22
8291,What is 67 + 14?,Hard,81
8292,What is 88 + 54?,Easy,142
8293,What is 10 * 1?,Hard,10
8294,What is the square root of 9?,Hard,3
8295,What is 78 squared?,Hard,6084
8296,What is 77 - 71?,Medium,6
8297,What is 97 + 48?,Hard,145
8298,What is 57 + 10?,Easy,67
8299,What is 15 - 90?,Hard,-75
8300,What is 39 squared?,Easy,1521
8301,What is 20 - 51?,Easy,-31
8302,What is 65 squared?,Medium,4225
8303,What is 19 squared?,Medium,361
8304,What is 91 * 94?,Easy,8554
8305,What is 6 + 30?,Medium,36
8306,What is 96 squared?,Hard,9216
8307,What is 45 + 41?,Medium,86
8308,What is the square root of 82?,Easy,Not a perfect square
8309,What is the square root of 18?,Easy,Not a perfect square
8310,What is 72 - 70?,Medium,2
8311,What is 25 + 29?,Medium,54
8312,What is 29 * 6?,Hard,174
8313,What is 46 * 86?,Medium,3956
8314,What is 7 squared?,Hard,49
8315,What is 53 + 1?,Medium,54
8316,What is 78 * 24?,Hard,1872
8317,What is the square root of 81?,Hard,9
8318,What is 93 - 45?,Medium,48
8319,What is 65 * 29?,Easy,1885
8320,What is 58 * 82?,Hard,4756
8321,What is 70 * 73?,Easy,5110
8322,What is 35 squared?,Easy,1225
8323,What is the square root of 92?,Hard,Not a perfect square
8324,What is 23 * 97?,Easy,2231
8325,What is 56 - 43?,Medium,13
8326,What is the square root of 48?,Hard,Not a perfect square
8327,What is 3 * 100?,Easy,300
8328,What is 32 * 87?,Easy,2784
8329,What is 66 squared?,Hard,4356
8330,What is 74 * 68?,Hard,5032
8331,What is 68 squared?,Hard,4624
8332,What is 24 + 76?,Hard,100
8333,What is 20 squared?,Medium,400
8334,What is 26 * 82?,Medium,2132
8335,What is 66 * 36?,Easy,2376
8336,What is the square root of 13?,Medium,Not a perfect square
8337,What is 91 - 14?,Easy,77
8338,What is 71 - 44?,Easy,27
8339,What is 92 * 47?,Easy,4324
8340,What is 99 + 43?,Hard,142
8341,What is 29 + 49?,Hard,78
8342,What is 65 + 26?,Easy,91
8343,What is 3 + 92?,Medium,95
8344,What is the square root of 79?,Easy,Not a perfect square
8345,What is 76 - 93?,Medium,-17
8346,What is 15 * 31?,Easy,465
8347,What is 3 squared?,Medium,9
8348,What is 39 - 1?,Hard,38
8349,What is 67 squared?,Medium,4489
8350,What is 96 - 32?,Easy,64
8351,What is 71 squared?,Hard,5041
8352,What is 37 + 59?,Easy,96
8353,What is the square root of 8?,Hard,Not a perfect square
8354,What is 9 squared?,Easy,81
8355,What is the square root of 72?,Hard,Not a perfect square
8356,What is the square root of 97?,Easy,Not a perfect square
8357,What is the square root of 30?,Medium,Not a perfect square
8358,What is 67 * 22?,Easy,1474
